Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
C0HKJ0	reviewed	Cyclotide mden-H	491106	Melicytus dentatus	29	IPR005535	1..29
C0HKJ1	reviewed	Cyclotide mden-I	491106	Melicytus dentatus	30	IPR005535	1..30
C0HKJ2	reviewed	Cyclotide mden-J	491106	Melicytus dentatus	31	IPR005535	1..31
C0HKJ3	reviewed	Cyclotide mden-K	491106	Melicytus dentatus	31	IPR005535	1..31
C0HKJ4	reviewed	Cyclotide mden-L	491106	Melicytus dentatus	31	IPR005535	1..31
C0HKJ5	reviewed	Cyclotide mden-M	491106	Melicytus dentatus	31	IPR005535	1..31
C0HKJ6	reviewed	Cyclotide mden-N	491106	Melicytus dentatus	31	IPR005535	1..31
C0HKJ7	reviewed	Cyclotide mobo-A	450841	Melicytus obovatus	29	IPR005535	1..29
C0HKJ8	reviewed	Cyclotide mobo-B	450841	Melicytus obovatus	29	IPR005535	1..29
C0HKJ9	reviewed	Cyclotide pali-A	59596	Palicourea guianensis	31	IPR005535	1..31
C0HKK0	reviewed	Cyclotide vdif-A	591085	Viola diffusa	30	IPR005535	1..30
C0HKK1	reviewed	Cyclotide vinc-A	591090	Viola inconspicua	29	IPR005535	1..29
C0HKK2	reviewed	Cyclotide vinc-B	591090	Viola inconspicua	31	IPR005535	2..31
C0HKK3	reviewed	Cyclotide vpub-A	97445	Viola pubescens	31	IPR005535	1..31
C0HKK4	reviewed	Cyclotide vpub-B	97445	Viola pubescens	31	IPR005535	1..31
C0HKK5	reviewed	Cyclotide vpub-C	97445	Viola pubescens	31	IPR005535	1..31
C0HL14	reviewed	Cyclotide vodo I1	97441	Viola odorata	28	IPR005535	1..28
C0HL15	reviewed	Cyclotide vodo I2	97441	Viola odorata	28	IPR005535	1..28
C0HL16	reviewed	Cyclotide vodo I3	97441	Viola odorata	28	IPR005535	1..28
C0HL20	reviewed	Cyclotide psybry A	980682	Psychotria brachyceras	31	IPR005535	4..31
C0HL21	reviewed	Cyclotide psybry B	980682	Psychotria brachyceras	31	IPR005535	4..31
C0HL22	reviewed	Cyclotide psybry C	980682	Psychotria brachyceras	31	IPR005535	4..31
C0HL23	reviewed	Cyclotide cycloviolacin O17	980682	Psychotria brachyceras	30	IPR005535	1..30
C0HL24	reviewed	Cyclotide psyleio A	980682	Psychotria brachyceras	29	IPR005535	1..29
C0HL25	reviewed	Cyclotide psyleio B	980682	Psychotria brachyceras	29	IPR005535	2..29
C0HL26	reviewed	Cyclotide psyleio D	980682	Psychotria brachyceras	29	IPR005535	1..29
C0HL27	reviewed	Cyclotide psyleio A	2022332	Psychotria leiocarpa	29	IPR005535	1..29
C0HL28	reviewed	Cyclotide psyleio B	2022332	Psychotria leiocarpa	29	IPR005535	2..29
C0HL29	reviewed	Cyclotide psyleio C	2022332	Psychotria leiocarpa	29	IPR005535	2..29
C0HL30	reviewed	Cyclotide psyleio D	2022332	Psychotria leiocarpa	29	IPR005535	1..29
C0HL31	reviewed	Cyclotide psyleio E	2022332	Psychotria leiocarpa	30	IPR005535	2..30
C0HL32	reviewed	Cyclotide mra1	316498	Melicytus ramiflorus	29	IPR005535	1..29
C0HL33	reviewed	Cyclotide mra2	316498	Melicytus ramiflorus	29	IPR005535	1..29
C0HL34	reviewed	Cyclotide mra3	316498	Melicytus ramiflorus	31	IPR005535	1..31
C0HL35	reviewed	Cyclotide glopa A	685569	Gloeospermum pauciflorum	32	IPR005535	3..32
C0HL36	reviewed	Cyclotide glopa B	685569	Gloeospermum pauciflorum	32	IPR005535	3..32
C0HL37	reviewed	Cyclotide glopa C	685569	Gloeospermum pauciflorum	31	IPR005535	2..31
C0HLN7	reviewed	Cyclotide hyen-C	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLN8	reviewed	Cyclotide hyen-D	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLN9	reviewed	Cyclotide hyen-E	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP0	reviewed	Cyclotide hyen-F	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP1	reviewed	Cyclotide hyen-G	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP2	reviewed	Cyclotide hyen-H	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP3	reviewed	Cyclotide hyen-I	212266	Pigea enneasperma	31	IPR005535	2..31
C0HLP4	reviewed	Cyclotide hyen-J	212266	Pigea enneasperma	31	IPR005535	2..31
C0HLP5	reviewed	Cyclotide hyen-K	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP6	reviewed	Cyclotide hyen-L	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP7	reviewed	Cyclotide hyen-M	212266	Pigea enneasperma	30	IPR005535	1..30
C0HLP8	reviewed	Cycloviolacin-O2	212266	Pigea enneasperma	30	IPR005535	1..30
C5YPK7	unreviewed	Uncharacterized protein	4558	Sorghum bicolor	98	IPR005535	62..93
D2WPK3	unreviewed	Cyclotide F	685568	Gloeospermum blakeanum	101	IPR005535	68..97
D2WPK4	unreviewed	Cyclotide A	685568	Gloeospermum blakeanum	104	IPR005535	71..100
D2WPK5	unreviewed	Cyclotide B	685568	Gloeospermum blakeanum	105	IPR005535	71..101
D2WPK6	unreviewed	Cyclotide D	685568	Gloeospermum blakeanum	106	IPR005535	73..102
D2WPK7	unreviewed	Cyclotide G	685568	Gloeospermum blakeanum	102	IPR005535	68..98
D2WPK8	unreviewed	Cyclotide E	685568	Gloeospermum blakeanum	102	IPR005535	69..98
D2WPK9	unreviewed	Cyclotide D	685569	Gloeospermum pauciflorum	106	IPR005535	71..101
D2WPL0	unreviewed	Cyclotide B	685569	Gloeospermum pauciflorum	105	IPR005535	71..101
D2WPL1	unreviewed	Cyclotide E	685569	Gloeospermum pauciflorum	106	IPR005535	71..101
D2WPL2	unreviewed	Cyclotide E	685569	Gloeospermum pauciflorum	105	IPR005535	70..100
D8WS37	unreviewed	Cyclotide Oak6	60225	Oldenlandia affinis	153	IPR005535	62..91,117..146
D8WS38	unreviewed	Cyclotide Oak7	60225	Oldenlandia affinis	93	IPR005535	59..84
D8WS39	unreviewed	Cyclotide Oak8	60225	Oldenlandia affinis	141	IPR005535	103..132
D8WS40	unreviewed	Cyclotide Oak9	60225	Oldenlandia affinis	128	IPR005535	99..128
D8WS41	unreviewed	Cyclotide Oak10	60225	Oldenlandia affinis	106	IPR005535	71..99
F8W671	unreviewed	Cyclotide Cter M	43366	Clitoria ternatea	29	IPR005535	1..29
G1CWH0	reviewed	Cliotide T1	43366	Clitoria ternatea	95	IPR005535	1..30
G1CWH1	reviewed	Cliotide T2	43366	Clitoria ternatea	132	IPR005535	28..58
G1CWH2	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	127	IPR005535	25..53
G1CWH3	reviewed	Cliotide T4	43366	Clitoria ternatea	123	IPR005535	29..58
G1CWH4	reviewed	Cliotide T5	43366	Clitoria ternatea	95	IPR005535	1..30
G1CWH5	reviewed	Cliotide T7	43366	Clitoria ternatea	130	IPR005535	26..56
G1CWH6	reviewed	Cliotide T8	43366	Clitoria ternatea	122	IPR005535	26..55
G1CWH7	unreviewed	Albumin I chain a domain-containing protein	43366	Clitoria ternatea	117	IPR005535	26..55
G1CWH8	reviewed	Cliotide T12	43366	Clitoria ternatea	123	IPR005535	29..58
G9I0X2	unreviewed	Hedyotide B1	462684	Leptopetalum biflorum	107	IPR005535	65..94
G9I0X3	unreviewed	Hedyotide B2	462684	Leptopetalum biflorum	93	IPR005535	65..93
I0B6F2	reviewed	Chassatide C2	510798	Chassalia chartacea	77	IPR005535	45..75
I0B6F3	reviewed	Chassatide C4	510798	Chassalia chartacea	78	IPR005535	44..71
I0B6F4	reviewed	Chassatide C7	510798	Chassalia chartacea	64	IPR005535	36..64
I0B6F5	reviewed	Chassatide C8	510798	Chassalia chartacea	75	IPR005535	46..75
I0B6F7	unreviewed	Cyclotide chassatide C14	510798	Chassalia chartacea	77	IPR005535	45..75
I0B6F8	unreviewed	Cyclotide chassatide C15	510798	Chassalia chartacea	77	IPR005535	45..75
I0B6G0	unreviewed	Cyclotide chassatide C17	510798	Chassalia chartacea	75	IPR005535	47..75
I0B6G1	unreviewed	Cyclotide chassatide C18	510798	Chassalia chartacea	78	IPR005535	45..74
I0B6G2	reviewed	Chassatide C13	510798	Chassalia chartacea	77	IPR005535	45..75
I0B6G4	unreviewed	Cyclotide chassatide C16	510798	Chassalia chartacea	77	IPR005535	45..75
I6QZB1	unreviewed	Cyclotide 2	4102	Petunia hybrida	79	IPR005535	44..73
I6RZE0	unreviewed	Cyclotide 3	4102	Petunia hybrida	79	IPR005535	44..73
I6S3T3	unreviewed	Cyclotide 1	4102	Petunia hybrida	79	IPR005535	39..73
K3ZBA6	unreviewed	Knottin scorpion toxin-like domain-containing protein	4555	Setaria italica	83	IPR005535	54..83
K3ZBA8	unreviewed	Cyclotide	4555	Setaria italica	82	IPR005535	53..82
K3ZBC2	unreviewed	Uncharacterized protein	4555	Setaria italica	80	IPR005535	53..80
K9Y2Z0	unreviewed	Panitide L2	158129	Steinchisma laxum	79	IPR005535	52..79
K9Y385	unreviewed	Panitide L4	158129	Steinchisma laxum	89	IPR005535	62..89
K9Y490	unreviewed	Panitide L1	158129	Steinchisma laxum	78	IPR005535	51..78
K9Y572	unreviewed	Panitide L6	158129	Steinchisma laxum	78	IPR005535	51..78
M9SZP2	unreviewed	Cyclotide B	97441	Viola odorata	79	IPR005535	46..75
M9T7B1	unreviewed	Cyclotide C	97441	Viola odorata	102	IPR005535	16..44,70..98
P0C589	reviewed	Pro-tricyclons	97415	Viola arvensis	204	IPR005535	76..102,171..197
P56254	reviewed	Kalata-B1	60225	Oldenlandia affinis	124	IPR005535	89..117
P56871	reviewed	Circulin-A	58431	Chassalia parviflora	30	IPR005535	1..30
P56872	reviewed	Cyclopsychotride-A	41680	Psychotria longipes	31	IPR005535	1..31
P56879	reviewed	Circulin-B	58431	Chassalia parviflora	31	IPR005535	1..31
P58433	reviewed	Cycloviolacin-H1	180952	Viola hederacea	30	IPR005535	1..30
P58434	reviewed	Cycloviolacin-O2	97441	Viola odorata	30	IPR005535	1..30
P58435	reviewed	Cycloviolacin-O3	97441	Viola odorata	30	IPR005535	1..30
P58436	reviewed	Cycloviolacin-O4	97441	Viola odorata	30	IPR005535	1..30
P58437	reviewed	Cycloviolacin-O5	97441	Viola odorata	30	IPR005535	1..30
P58438	reviewed	Cycloviolacin-O6	97441	Viola odorata	31	IPR005535	1..31
P58439	reviewed	Cycloviolacin-O7	97441	Viola odorata	30	IPR005535	1..30
P58440	reviewed	Cycloviolacin-O8	97441	Viola odorata	118	IPR005535	85..115
P58441	reviewed	Cycloviolacin-O9	97441	Viola odorata	30	IPR005535	1..30
P58442	reviewed	Cycloviolacin-O10	97441	Viola odorata	30	IPR005535	1..30
P58443	reviewed	Cycloviolacin-O11	97441	Viola odorata	118	IPR005535	85..115
P58445	reviewed	Cyclotide hypa-A	179672	Pombalia parviflora	30	IPR005535	1..30
P58446	reviewed	Varv peptide A	97415	Viola arvensis	29	IPR005535	1..29
P58447	reviewed	Varv peptide B	97415	Viola arvensis	30	IPR005535	1..30
P58448	reviewed	Varv peptide C	97415	Viola arvensis	29	IPR005535	1..29
P58449	reviewed	Varv peptide D	97415	Viola arvensis	29	IPR005535	1..29
P58451	reviewed	Varv peptide F	97415	Viola arvensis	29	IPR005535	1..29
P58452	reviewed	Varv peptide G	97415	Viola arvensis	30	IPR005535	1..30
P58453	reviewed	Varv peptide H	97415	Viola arvensis	30	IPR005535	1..30
P58454	reviewed	Kalata-B2	60225	Oldenlandia affinis	210	IPR005535	67..95,121..149,175..203
P58455	reviewed	Kalata-B3/B6	60225	Oldenlandia affinis	158	IPR005535	67..96,122..151
P58456	reviewed	Kalata-B5	60225	Oldenlandia affinis	30	IPR005535	1..30
P58457	reviewed	Kalata-B7	60225	Oldenlandia affinis	111	IPR005535	76..104
P58458	reviewed	Kalata-S	60225	Oldenlandia affinis	29	IPR005535	1..29
P82230	reviewed	Cycloviolacin-O1	97441	Viola odorata	30	IPR005535	1..30
P83835	reviewed	Varv peptide E	97415	Viola arvensis	29	IPR005535	1..29
P83836	reviewed	Cycloviolacin-O12	97441	Viola odorata	29	IPR005535	1..29
P83838	reviewed	Vodo peptide N	97441	Viola odorata	29	IPR005535	1..29
P83839	reviewed	Vodo peptide M	97441	Viola odorata	29	IPR005535	1..29
P83840	reviewed	Vitri peptide A	97415	Viola arvensis	30	IPR005535	1..30
P83937	reviewed	Root cyclotide 1	180952	Viola hederacea	30	IPR005535	1..30
P83938	reviewed	Kalata-B4	60225	Oldenlandia affinis	29	IPR005535	1..29
P84522	reviewed	Leaf cyclotide 1	180952	Viola hederacea	31	IPR005535	1..31
P84635	reviewed	Cyclotide vico-A	341256	Viola cotyledon	31	IPR005535	1..31
P84636	reviewed	Cyclotide vico-B	341256	Viola cotyledon	31	IPR005535	1..31
P84637	reviewed	Cycloviolin-A	341676	Leonia cymosa	31	IPR005535	1..31
P84638	reviewed	Cycloviolin-B	341676	Leonia cymosa	28	IPR005535	1..28
P84639	reviewed	Cycloviolin-C	341676	Leonia cymosa	30	IPR005535	1..30
P84640	reviewed	Cycloviolin-D	341676	Leonia cymosa	30	IPR005535	1..30
P84641	reviewed	Circulin-C	58431	Chassalia parviflora	30	IPR005535	1..30
P84642	reviewed	Circulin-D	58431	Chassalia parviflora	30	IPR005535	1..30
P84643	reviewed	Circulin-E	58431	Chassalia parviflora	30	IPR005535	1..30
P84644	reviewed	Circulin-F	58431	Chassalia parviflora	29	IPR005535	1..29
P84645	reviewed	Palicourein	272141	Palicourea condensata	37	IPR005535	4..37
P84647	reviewed	Cyclotide Hyfl-A	343459	Hybanthus floribundus	31	IPR005535	1..31
P84648	reviewed	Cyclotide Hyfl-B	343459	Hybanthus floribundus	32	IPR005535	1..32
P84649	reviewed	Cyclotide Hyfl-C	343459	Hybanthus floribundus	32	IPR005535	1..32
P85127	reviewed	Kalata-B9	60225	Oldenlandia affinis	31	IPR005535	3..31
P85128	reviewed	Kalata-B10	60225	Oldenlandia affinis	30	IPR005535	1..30
P85129	reviewed	Kalata-B11	60225	Oldenlandia affinis	29	IPR005535	1..29
P85131	reviewed	Kalata-B13	60225	Oldenlandia affinis	30	IPR005535	1..30
P85132	reviewed	Kalata-B14	60225	Oldenlandia affinis	30	IPR005535	1..30
P85133	reviewed	Kalata-B15	60225	Oldenlandia affinis	29	IPR005535	1..29
P85134	reviewed	Kalata-B16	60225	Oldenlandia affinis	30	IPR005535	1..30
P85135	reviewed	Kalata-B17	60225	Oldenlandia affinis	30	IPR005535	1..30
P85175	reviewed	Kalata-B8	60225	Oldenlandia affinis	31	IPR005535	5..31
P85177	reviewed	Cycloviolacin-O14	97441	Viola odorata	31	IPR005535	2..31
P85178	reviewed	Cycloviolacin-O15	97441	Viola odorata	29	IPR005535	1..29
P85179	reviewed	Cycloviolacin-O16	97441	Viola odorata	29	IPR005535	1..28
P85180	reviewed	Cycloviolacin-O17	97441	Viola odorata	30	IPR005535	1..30
P85181	reviewed	Cycloviolacin-O18	97441	Viola odorata	30	IPR005535	1..30
P85182	reviewed	Cycloviolacin-O19	97441	Viola odorata	31	IPR005535	1..31
P85183	reviewed	Cycloviolacin-O20	97441	Viola odorata	30	IPR005535	1..30
P85184	reviewed	Cycloviolacin-O21	97441	Viola odorata	29	IPR005535	1..29
P85185	reviewed	Cycloviolacin-O22	97441	Viola odorata	29	IPR005535	1..29
P85186	reviewed	Cycloviolacin-O23	97441	Viola odorata	31	IPR005535	1..31
P85187	reviewed	Cycloviolacin-O24	97441	Viola odorata	30	IPR005535	1..30
P85188	reviewed	Cycloviolacin-O25	97441	Viola odorata	31	IPR005535	2..31
P85231	reviewed	Leaf cyclotide 2	180952	Viola hederacea	30	IPR005535	1..30
P85232	reviewed	Cycloviolacin-H3	180952	Viola hederacea	30	IPR005535	1..30
P85233	reviewed	Cycloviolacin-H2	180952	Viola hederacea	29	IPR005535	1..29
P85234	reviewed	Cycloviolacin-H4	180952	Viola hederacea	30	IPR005535	1..30
P85239	reviewed	Cyclotide vibi-A	214529	Viola biflora	29	IPR005535	1..29
P85240	reviewed	Cyclotide vibi-B	214529	Viola biflora	29	IPR005535	1..29
P85241	reviewed	Cyclotide vibi-C	214529	Viola biflora	29	IPR005535	1..29
P85242	reviewed	Cyclotide vibi-D	214529	Viola biflora	29	IPR005535	1..29
P85244	reviewed	Cyclotide vibi-F	214529	Viola biflora	31	IPR005535	1..31
P85245	reviewed	Cyclotide vibi-G	214529	Viola biflora	31	IPR005535	1..31
P85246	reviewed	Cyclotide vibi-H	214529	Viola biflora	31	IPR005535	1..31
P85525	reviewed	Cyclotide varv-A	214529	Viola biflora	29	IPR005535	1..29
P85526	reviewed	Cycloviolacin-O2	214529	Viola biflora	30	IPR005535	1..30
P86841	reviewed	Cyclotide cter-A	43366	Clitoria ternatea	124	IPR005535	29..59
P86842	reviewed	Cyclotide cter-B	43366	Clitoria ternatea	135	IPR005535	30..60
P86843	reviewed	Cyclotide cter-C	43366	Clitoria ternatea	31	IPR005535	1..31
P86844	reviewed	Cyclotide cter-D	43366	Clitoria ternatea	31	IPR005535	1..31
P86845	reviewed	Cyclotide cter-E	43366	Clitoria ternatea	31	IPR005535	1..31
P86846	reviewed	Cyclotide cter-F	43366	Clitoria ternatea	30	IPR005535	1..30
P86847	reviewed	Cyclotide cter-G	43366	Clitoria ternatea	30	IPR005535	1..30
P86848	reviewed	Cyclotide cter-H	43366	Clitoria ternatea	30	IPR005535	1..30
P86849	reviewed	Cliotide T17	43366	Clitoria ternatea	31	IPR005535	1..31
P86850	reviewed	Cyclotide cter-J	43366	Clitoria ternatea	31	IPR005535	1..31
P86851	reviewed	Cyclotide cter-K	43366	Clitoria ternatea	29	IPR005535	1..29
P86852	reviewed	Cyclotide cter-L	43366	Clitoria ternatea	29	IPR005535	1..29
P86899	reviewed	Cyclotide cter-M	43366	Clitoria ternatea	127	IPR005535	25..53
P86900	reviewed	Cyclotide cter-N	43366	Clitoria ternatea	29	IPR005535	1..29
P86901	reviewed	Cyclotide cter-O	43366	Clitoria ternatea	30	IPR005535	1..30
P86902	reviewed	Cyclotide cter-P	43366	Clitoria ternatea	30	IPR005535	1..30
P86903	reviewed	Cyclotide cter-R	43366	Clitoria ternatea	31	IPR005535	1..31
P86904	reviewed	Cyclotide cter-Q	43366	Clitoria ternatea	30	IPR005535	1..30
Q09PF9	unreviewed	Cyclotide 4	349688	Viola baoshanensis	120	IPR005535	85..115
Q09PG0	unreviewed	Cyclotide 3	349688	Viola baoshanensis	115	IPR005535	83..112
Q09PG1	unreviewed	Cyclotide 2	349688	Viola baoshanensis	113	IPR005535	80..109
Q09PG2	unreviewed	Cyclotide 1	349688	Viola baoshanensis	113	IPR005535	80..109
Q2HY54	reviewed	Violacin-A	97441	Viola odorata	106	IPR005535	82..106
Q30C63	unreviewed	Cyclotide F	351361	Hybanthus floribundus subsp. floribundus	35	IPR005535	1..30
Q30C64	unreviewed	Cyclotide E	351361	Hybanthus floribundus subsp. floribundus	86	IPR005535	53..81
Q30C65	unreviewed	Cyclotide D	351361	Hybanthus floribundus subsp. floribundus	106	IPR005535	73..102
Q30C98	unreviewed	Cyclotide B	349241	Hybanthus epacroides	31	IPR005535	1..27
Q30C99	unreviewed	Cyclotide A	349241	Hybanthus epacroides	30	IPR005535	1..26
Q30CA1	unreviewed	Cyclotide A	212266	Pigea enneasperma	33	IPR005535	1..28
Q30CA2	unreviewed	Cyclotide A	349240	Hybanthus debilissimus	28	IPR005535	1..23
Q30CA3	unreviewed	Cyclotide A	349239	Hybanthus calycinus	30	IPR005535	1..26
Q30CA4	unreviewed	Cyclotide A	351362	Hybanthus vernonii subsp. vernonii	27	IPR005535	1..27
Q30CA5	unreviewed	Cyclotide A	349237	Pigea stellarioides	31	IPR005535	1..27
Q30CA6	unreviewed	Cyclotide B	349236	Pigea monopetala	35	IPR005535	1..25
Q30CA7	unreviewed	Cyclotide A	349236	Pigea monopetala	32	IPR005535	1..27
Q30CA8	unreviewed	Cyclotide P	351361	Hybanthus floribundus subsp. floribundus	27	IPR005535	1..23
Q30CA9	unreviewed	Cyclotide O	351361	Hybanthus floribundus subsp. floribundus	31	IPR005535	1..27
Q30CB0	unreviewed	Cyclotide N	351361	Hybanthus floribundus subsp. floribundus	31	IPR005535	1..27
Q30CB1	unreviewed	Cyclotide M	351361	Hybanthus floribundus subsp. floribundus	102	IPR005535	70..97
Q30CB2	unreviewed	Cyclotide L	351361	Hybanthus floribundus subsp. floribundus	105	IPR005535	72..101
Q30CB3	unreviewed	Cyclotide K	351361	Hybanthus floribundus subsp. floribundus	105	IPR005535	72..101
Q30CB4	unreviewed	Cyclotide J	351361	Hybanthus floribundus subsp. floribundus	90	IPR005535	58..85
Q30CB5	unreviewed	Cyclotide I	351361	Hybanthus floribundus subsp. floribundus	102	IPR005535	69..98
Q30CB6	unreviewed	Cyclotide H	351361	Hybanthus floribundus subsp. floribundus	31	IPR005535	1..27
Q30CB7	unreviewed	Cyclotide G	351361	Hybanthus floribundus subsp. floribundus	30	IPR005535	1..26
Q5USN7	reviewed	Varv peptide A/Kalata-B1	97441	Viola odorata	207	IPR005535	67..95,121..149,175..203
Q5USN8	reviewed	Cycloviolacin-O13	97441	Viola odorata	115	IPR005535	82..111
S5CLG2	unreviewed	Caripe 2 cyclotide	77880	Carapichea ipecacuanha	79	IPR005535	45..75
S5CTC2	unreviewed	Caripe 2 cyclotide	77880	Carapichea ipecacuanha	82	IPR005535	45..75
